release_year,runtime,seasons,imdb_score,type,title
1936,69,0.0,5.6,MOVIE,Murder with Pictures
1934,72,0.0,6.2,MOVIE,Little Men
1919,76,0.0,6.3,MOVIE,A Romance of Happy Valley
1939,54,0.0,5.7,MOVIE,In Old Caliente
1947,60,0.0,5.9,MOVIE,Dick Tracy's Dilemma
1933,62,0.0,5.6,MOVIE,Tomorrow at Seven
1936,62,0.0,5.1,MOVIE,August Week End
1940,68,0.0,5.6,MOVIE,Boys of the City
1941,62,0.0,5.9,MOVIE,The Gunman From Bodie
1941,62,0.0,5.9,MOVIE,The Gunman From Bodie
1940,68,0.0,5.9,MOVIE,Dr. Christian Meets the Women
1946,72,0.0,6.0,MOVIE,Colonel Effingham's Raid
1944,60,0.0,5.4,MOVIE,Dangerous Passage
1936,80,0.0,5.6,MOVIE,The President's Mystery
1937,58,0.0,6.0,MOVIE,Brothers of the West
1925,59,0.0,5.7,MOVIE,My Lady of Whims
1935,63,0.0,4.3,MOVIE,Riddle Ranch
1941,58,0.0,6.2,MOVIE,In Old Cheyenne
1942,60,0.0,7.0,MOVIE,West of the Law
1937,62,0.0,4.8,MOVIE,The Shadow Strikes
1939,80,0.0,4.5,MOVIE,Lying Lips
1940,76,0.0,6.8,MOVIE,Three Men From Texas
1941,62,0.0,5.9,MOVIE,Bowery Blitzkrieg
1923,110,0.0,6.5,MOVIE,Merry-Go-Round
1946,95,0.0,6.5,MOVIE,That Brennan Girl
1939,68,0.0,6.1,MOVIE,The Mystery of Mr. Wong
1942,67,0.0,5.6,MOVIE,Smart Alecks
1933,64,0.0,5.6,MOVIE,The Sphinx
1937,56,0.0,5.5,MOVIE,Gunsmoke Ranch
